cpi_year,cpi,adj_factor_2015,adj_factor_2016,adj_factor_2017,adj_factor_2018
1947,22.33166667,0.094229324,0.093046156,0.091097883,0.08959725
1948,24.045,0.1014588,0.100184856,0.098087108,0.096471343
1949,23.80916667,0.100463692,0.099202243,0.097125069,0.095525153
1950,24.0625,0.101532642,0.100257771,0.098158496,0.096541555
1951,25.97333333,0.109595476,0.108219366,0.105953385,0.104208042
1952,26.56666667,0.112099069,0.110691523,0.108373778,0.106588564
1953,26.76833333,0.112950009,0.111531779,0.10919644,0.107397674
1954,26.865,0.113357898,0.111934546,0.109590773,0.107785512
1955,26.79583333,0.113066047,0.111646359,0.109308621,0.107508008
1956,27.19083333,0.114732764,0.113292149,0.11091995,0.109092794
1957,28.11333333,0.118625288,0.117135798,0.114683117,0.112793971
1958,28.88083333,0.121863784,0.12033363,0.117813991,0.115873271
1959,29.15,0.122999543,0.121455128,0.118912006,0.116953199
1960,29.585,0.124835042,0.12326758,0.120686508,0.118698469
1961,29.90166667,0.12617123,0.12458699,0.121978291,0.119968973
1962,30.25333333,0.127655101,0.126052229,0.123412849,0.121379901
1963,30.63333333,0.129258525,0.127635521,0.124962989,0.122904505
1964,31.03833333,0.130967438,0.129322976,0.126615111,0.124529412
1965,31.52833333,0.133035012,0.131364589,0.128613975,0.126495349
1966,32.47083333,0.137011927,0.135291569,0.132458728,0.130276769
1967,33.375,0.140827093,0.13905883,0.136147108,0.133904391
1968,34.79166667,0.146804772,0.144961452,0.141926137,0.139588223
1969,36.68333333,0.154786732,0.152843189,0.149642839,0.14717781
1970,38.84166667,0.163893903,0.161836007,0.158447359,0.155837295
1971,40.48333333,0.170820978,0.168676104,0.165144233,0.162423853
1972,41.80833333,0.176411866,0.174196792,0.170549324,0.167739908
1973,44.425,0.187452992,0.185099282,0.181223529,0.17823828
1974,49.31666667,0.208093567,0.205480689,0.201178174,0.197864217
1975,53.825,0.227116652,0.224264915,0.219569082,0.215952176
1976,56.93333333,0.240232384,0.237215962,0.23224895,0.228423171
1977,60.61666667,0.25577435,0.25256278,0.247274423,0.243201134
1978,65.24166667,0.275289715,0.271833104,0.266141251,0.261757173
1979,72.58333333,0.306268159,0.302422575,0.296090215,0.291212796
1980,82.38333333,0.347619635,0.343254831,0.336067494,0.330531539
1981,90.93333333,0.383696688,0.378878891,0.370945629,0.364835135
1982,96.53333333,0.407326103,0.402211608,0.393789788,0.387302988
1983,99.58333333,0.420195695,0.414919606,0.406231696,0.399539944
1984,103.9333333,0.438550687,0.433044128,0.423976713,0.416992651
1985,107.6,0.454022328,0.448321503,0.438934198,0.431703745
1986,109.6916667,0.462848195,0.45703655,0.447466763,0.440095756
1987,113.6166667,0.479409883,0.473390286,0.463478071,0.455843313
1988,118.275,0.4990659,0.492799496,0.482480876,0.47453309
1989,123.9416667,0.522976617,0.516409984,0.505596989,0.497268417
1990,130.6583333,0.55131785,0.544395356,0.532996382,0.524216467
1991,136.1666667,0.574560474,0.567346139,0.555466604,0.546316543
1992,140.3083333,0.592036395,0.584602629,0.572361763,0.562933392
1993,144.475,0.609617805,0.601963282,0.589358905,0.579650545
1994,148.225,0.625441074,0.617587869,0.604656333,0.594695982
1995,152.3833333,0.642987321,0.634913801,0.621619481,0.6113797
1996,156.8583333,0.661869755,0.653559142,0.639874412,0.629333922
1997,160.525,0.677341395,0.668836517,0.654831897,0.644045016
1998,163.0083333,0.687819916,0.679183466,0.664962193,0.654008439
1999,166.5833333,0.702904765,0.694078906,0.679545741,0.668351756
2000,172.1916667,0.726569343,0.717446345,0.702423894,0.690853043
2001,177.0416667,0.747034104,0.737654145,0.722208568,0.710311808
2002,179.8666667,0.7589543,0.749424668,0.73373263,0.721646038
2003,184,0.776395058,0.766646436,0.750593795,0.738229453
2004,188.9083333,0.797105959,0.787097285,0.770616429,0.757922259
2005,195.2666667,0.823935191,0.813589641,0.796554067,0.783432633
2006,201.5583333,0.85048312,0.839804227,0.822219752,0.808675533
2007,207.3441667,0.874896665,0.86391123,0.845821983,0.831888971
2008,215.25425,0.908273565,0.896869041,0.878089698,0.863625148
2009,214.5646667,0.905363842,0.893995853,0.875276671,0.860858459
2010,218.0761667,0.920180751,0.908626717,0.889601182,0.874947007
2011,224.923,0.949071227,0.937154436,0.917531566,0.9024173
2012,229.5860833,0.968747286,0.956583437,0.936553748,0.921126134
2013,232.95175,0.982948845,0.970606678,0.950283359,0.934629581
2014,236.7065,0.998792157,0.986251057,0.965600164,0.949694076
2015,236.99275,1,0.987443734,0.966767868,0.950842544
2016,240.0063333,1.01271593,1,0.979061221,0.962933392
2017,245.13925,1.034374469,1.021386588,1,0.983527252
2018,249.245,1.051698839,1.038493429,1.016748644,1
